teacher_id,subject_id,start_date,end_date
1,10,2021-11-02,2021-11-09
1,16,2022-03-28,2023-11-14
2,16,2021-01-28,2021-07-17
2,17,2021-08-27,2021-08-27
2,11,2023-09-27,
3,13,2023-03-22,
4,1,2023-07-05,
4,6,2022-01-13,2022-01-13
5,7,2023-04-24,
5,5,2022-08-01,2022-09-03
5,9,2021-08-01,2021-08-01
6,10,2021-05-04,2021-05-17
6,4,2023-01-20,
6,8,2022-01-01,2022-01-27
7,2,2022-01-15,2022-10-03
7,3,2022-10-28,2022-10-28
8,18,2021-11-25,2023-07-03
9,12,2023-09-27,
9,17,2023-07-02,
10,17,2023-04-22,
10,12,2023-05-22,
10,8,2021-10-14,2022-12-12
11,4,2022-04-10,2023-05-19
11,3,2022-03-04,2022-07-27
11,6,2023-07-26,
12,5,2021-10-04,2021-10-04
13,17,2021-06-22,2022-12-14
13,16,2022-03-17,2023-10-22
13,7,2022-07-11,2022-07-11
14,10,2023-06-12,
14,17,2022-06-24,2022-06-24
14,13,2023-01-23,
15,3,2021-05-09,2023-08-17
15,9,2021-05-17,2021-12-03
15,10,2021-06-03,2021-11-01
16,8,2021-06-01,2022-05-19
16,17,2023-09-12,
17,16,2023-04-22,
17,11,2022-09-20,2022-10-18
18,16,2023-12-01,
18,5,2023-02-09,
18,1,2023-11-24,
19,18,2023-02-09,
19,13,2022-12-19,2023-10-03
19,6,2021-08-12,2021-08-12
20,6,2022-09-28,2022-12-28
20,14,2023-10-03,
20,9,2021-04-21,2021-09-10
21,16,2023-08-07,
21,15,2021-09-14,2023-07-06
22,11,2023-07-12,
22,5,2022-11-24,2023-11-05
23,7,2022-07-07,2023-05-24
24,2,2023-11-05,
24,15,2022-04-20,2022-07-03
25,11,2021-01-05,2021-04-05
26,2,2021-12-27,2021-12-27
27,18,2023-12-09,
28,15,2022-10-13,2022-10-13
28,14,2023-11-13,
28,16,2023-08-17,
29,18,2023-02-16,
30,13,2022-09-06,2023-02-13
30,12,2021-04-20,2023-07-12
30,17,2021-02-13,2023-02-05
